"key","Source","english","japanese","arabic","bulgarian","schinese","tchinese","czech","danish","dutch","finnish","french","german","greek","hungarian","italian","koreana","norwegian","polish","portuguese","brazilian","romanian","russian","spanish","latam","swedish","thai","turkish","ukrainian","vietnamese"
"copper ore","Copper Ore","Copper Ore","銅鉱石","خام النحاس","Медна руда","铜矿","銅礦","Měděná ruda","Kobberåre","Kopererts","Kuparimalmi","Minerai de cuivre","Kupfererz","Μεταλλεύμα χάλκιου","Réz érc","Minerale di rame","구리 광석","Kobberåre","Ruda miedzi","Minério de cobre","Minério de cobre","Minereu de cupru","Медная руда","Mina de cobre","Mina de cobre","Kopparmalm","แร่ทองแดง","Bakır cevheri","Мідна руда","Quặng đồng"
"copper ore powder","Copper Ore Powder","Copper Ore Powder","銅鉱石の粉","مسحوق خام النحاس","Медна руда на прах","铜矿粉","銅礦粉","Prášek z měděné rudy","Kobbermalmpulver","Koperertspoeder","Kuparimalmijauhe","Poudre de minerai de cuivre","Kupfererzpulver","Σκόνη μεταλλεύματος χαλκού","Rézércpor","Polvere di minerale di rame","구리 광석 가루","Kobbermalmpulver","Ruda miedziana proszek","Pó de minério de cobre","Pó de minério de cobre","Pulbere de minereu de cupru","Медная руда порошок","Polvo de mineral de cobre","Polvo de mineral de cobre","Kopparmalm","ผงแร่ทองแดง","Bakır cevheri tozu","Мідний порошок","Bột quặng đồng"
"copper ingot","Copper Ingot","Copper Ingot","銅インゴット","سبيكة نحاس","Меден слитъчен","铜矿","銅礦","Měděná ingot","Kobberindgang","Koperen staaf","Kuparihalkko","Lingot en cuivre","Kupferbarren","Χαλκός","Rézöntvény","Lingotto di rame","구리 잉곳","Kobberinngående","Miedziana Sztaba","Lingotes de cobre","Lingotes de cobre","Lingouri de cupru","Медный слиток","Lingote de cobre","Lingote de cobre","Koppar stång","ทองแดง","Bakır iç","Зливка міді","Thỏi đồng"
"sand","Sand","Sand","砂","رمل","Пясък","沙","沙","Písek","Sand","Zand","Hiekka","Sable","Sand","Αμμος","Homok","Sabbia","모래","Sand","Piasek","Areia","Areia","Nisip","Песок","Arena","Arena","Sand","ทราย","Kum","Пісок","Cát"
"glass","Glass","Glass","ガラス","زجاج","Стъклена чаша","玻璃","玻璃","Sklenka","Glas","Glas","Lasi","Verre","Glas","Ποτήρι","Üveg","Bicchiere","유리","Glass","Szkło","Vidro","Vidro","Sticlă","Стекло","Vaso","Vaso","Glas","กระจก","Bardak","Скляний","Thủy tinh"
"copper wire","Copper Wire","Copper Wire","銅線","سلك نحاس","Меден проводник","铜线","銅線","Měděný drát","Kobbertråd","Koperdraad","Kuparilanka","Fil de cuivre","Kupferkabel","Χάλκινο σύρμα","Rézdrót","Filo di rame","구리 와이어","Kobbertråd","Kabel miedziany","Fio de cobre","Fio de cobre","Sârmă de cupru","Медный проволока","Alambre de cobre","Alambre de cobre","Koppartråd","ลวดทองแดง","Bakır kablo","Мідний дріт","Dây đồng"
"campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire","Campfire"
"stone ax handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle","Stone Ax Handle"
"clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay","Clay"
"burned brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick","Burned Brick"
"charcoal kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln","Charcoal Kiln"
"charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal","Charcoal"
"bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery","Bloomery"
"cotton","Cotton","Cotton","コットン","القطن","Памук","棉布","棉布","Bavlna","Bomuld","Katoen","Puuvilla","Coton","Baumwolle","Βαμβάκι","Pamut","cotone","면","Bomull","Bawełna","Algodão","Algodão","Bumbac","Хлопок","Algodón","Algodón","Bomull","ฝ้าย","Pamuk","Бавовняний","Bông"
"cloth","Cloth","Cloth","布","قماش","Плат","布","布","Tkanina","Klæde","Lap","Kangas","Tissu","Tuch","Πανί","Szövet","Stoffa","옷감","Klut","Płótno","Pano","Pano","Pânză","Ткани","Paño","Paño","Trasa","ผ้า","Bez","Тканина","Vải"
"bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom","Bloom"
"bellows rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet","Bellows Rivet"
"bellows nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle","Bellows Nozzle"
"bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow","Bellow"
"bloomery with bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows","Bloomery With Bellows"
"cast iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron","Cast Iron"
"chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel","Chisel"
"iron ax head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head","Iron Ax Head"
"iron ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax","Iron Ax"
"iron pickaxe head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head","Iron Pickaxe Head"
"iron pickaxe","Iron Pickaxe","Iron Pickaxe","鉄ピッケル","Iron Pickaxe","Желязо pickaxe","铁镐","鐵鎬","Iron Pickaxe","Iron pickaxe","IJzeren houding","Rautakortti","Pickaxe en fer","Eisenpickel","Σιδερένιο pickaxe","Vas csákány","Pickex di ferro","철 소삭아","Jern pickaxe","Żelazny Pickaxe","Picareta de ferro","Picareta de ferro","Pickaxe de fier","Железный пик","Pico de hierro","Pico de hierro","Järnpicka","pickaxe เหล็ก","Demir kazma","Залізний пікакс","Pickaxe sắt"
"water wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel","Water Wheel"
"wooden gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears","Wooden Gears"
"wooden axle","Wooden Axle","Wooden Axle","木の車軸","المحور الخشبي","Дървена ос","木轴","木軸","Dřevěná náprava","Træaksel","Houten as","Puinen akseli","Essieu en bois","Holzachse","Ξύλινος άξονας","Fából készült tengely","Asse di legno","나무 차축","Treaksel","Drewniana oś","Eixo de madeira","Eixo de madeira","Axa din lemn","Деревянная ось","Eje de madera","Eje de madera","Trärätt","เพลาไม้","Ahşap aks","Дерев'яна вісь","Trục gỗ"
"wooden gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox","Wooden Gearbox"
"wooden belt conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor","Wooden Belt Conveyor"
"gear ore crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher","Gear Ore Crusher"
"gear miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner","Gear Miner"
"iron blade","Iron Blade","Iron Blade","鉄の刃","شفرة حديدية","Желязо острие","铁刀片","鐵刀片","Železná čepel","Jernblad","IJzeren mes","Rautaterä","Lame de fer","Eisenklinge","Σίδερο","Vaspenge","Lama di ferro","철 블레이드","Jernblad","Żelazne ostrze","Lâmina de ferro","Lâmina de ferro","Lamă de fier","Железное лезвие","Cuchilla de hierro","Cuchilla de hierro","Järnblad","ใบมีดเหล็ก","Demir bıçağı","Залізне лезо","Lưỡi sắt"
"WASDMoveMission","Use WASD keys to move","Use WASD keys to move","WASDキーで移動する","استخدم مفاتيح WASD للتحرك","Използвайте WASD ключове за преместване","使用WASD键移动","使用WASD鍵移動","K pohybu použijte klíče od WASD","Brug WASD -nøgler til at flytte","Gebruik was de sleutels om te bewegen","Käytä WASD -avaimia liikkuaksesi","Utilisez des clés WASD pour se déplacer","Verwenden Sie WASD -Schlüssel, um sich zu bewegen","Χρησιμοποιήστε τα πλήκτρα WASD για να μετακινηθείτε","Használja a WASD kulcsokat a mozgáshoz","Usa le chiavi WASD per muoversi","WASD 키를 사용하여 이동하십시오","Bruk WASD -nøkler for å flytte","Użyj kluczy WASD do ruchu","Use as teclas WASD para se mover","Use as teclas WASD para se mover","Folosiți tastele WASD pentru a vă deplasa","Использовать ключи для движения","Use las teclas WASD para moverse","Use las teclas WASD para moverse","Använd WASD -nycklar för att flytta","ใช้ปุ่ม WASD เพื่อย้าย","Hareket etmek için wasd anahtarları kullanın","Використовуйте клавіші WASD для переміщення","Sử dụng các phím WASD để di chuyển"
"OpenInventoryMission","Open inventory with Tab key","Open inventory with Tab key","Tabキーでインベントリを開く","افتح المخزون مع مفتاح TAB","Отворете инвентара с клавиш на раздела","带有标签键的开放库存","帶有標籤鍵的開放庫存","Otevřete inventář s klíčem","Åbn lager med Tab Key","Open de inventaris met tableutel","Avaa inventaario Tab -näppäimellä","Inventaire ouvrir avec la touche de tab","Öffnen Sie den Inventar mit der Registerkartenschlüssel","Ανοίξτε το απόθεμα με πλήκτρο καρτέλας","Nyissa meg a Készlet billentyűt","Apri l'inventario con tasto Tab","탭 키로 인벤토리를 엽니 다","Åpne varelager med Tab -tasten","Otwórz zapasy z klawiszem Tab","Abra o inventário com a tecla TAB","Abra o inventário com a tecla TAB","Deschideți inventarul cu cheia file","Открыть инвентарь с ключом вкладки","Abra el inventario con la tecla de tabulación","Abra el inventario con la tecla de tabulación","Öppna inventering med fliknyckel","เปิดสินค้าคงคลังด้วยคีย์แท็บ","Sekme Anahtarı ile Envanter Açın","Відкрийте інвентар за допомогою клавіші вкладки","Mở hàng tồn kho với khóa tab"
"GetItemMission","{0} to get {1}","{0} to get {1}","{0} を {1} 個獲得する ","{0} للحصول على {1}","{0}, за да получите {1}","{0}获取{1}","{0}獲取{1}","{0} získat {1}","{0} for at få {1}","{0} om {1} te krijgen","{0} saada {1}","{0} pour obtenir {1}","{0}, um {1} zu bekommen","{0} για να πάρετε {1}","{0} A {1} megszerzéséhez","{0} per ottenere {1}","{0} get {1}","{0} for å bli {1}","{0} Aby uzyskać {1}","{0} para obter {1}","{0} para obter {1}","{0} pentru a obține {1}","{0}, чтобы получить {1}","{0} para obtener {1}","{0} para obtener {1}","{0} för att få {1}","{0} เพื่อรับ {1}","{0} almak için {1}","{0}, щоб отримати {1}","{0} để nhận {1}"
"GetStoneMission","Acquired by right-clicking and holding on a stone","Acquired by right-clicking and holding on a stone","石を右クリック長押しで獲得","اكتسبتها النقر بزر الماوس الأيمن والعقد على حجر","Придобити чрез щракване с десния бутон и държане на камък","通过右键单击并握住石头获取","通過右鍵單擊並握住石頭獲取","Získáno kliknutím pravým tlačítkem a držením kamene","Erhvervet ved at højreklikke og holde på en sten","Verworven door met de rechtermuisknop te klikken en een steen vast te houden","Hankittu napsauttamalla hiiren kakkospainikkeella ja pitämällä kiveä","Acquis en cliquant avec le bouton droit et en tenant une pierre","Erworben, indem Sie mit der rechten Maustaste klicken und einen Stein festhalten","Αποκτήθηκε με δεξί κλικ και κρατώντας μια πέτρα","A jobb gombbal kattintással és egy követ tartva","Acquisito facendo clic con il pulsante destro del mouse e trattenendo su una pietra","마우스 오른쪽 단추를 클릭하고 돌을 잡고 획득","Anskaffet ved å høyreklikke og holde på en stein","Nabyty przez kliknięcie prawym przyciskiem myszy i trzymanie kamienia","Adquirido clicando com o botão direito do mouse e segurando uma pedra","Adquirido clicando com o botão direito do mouse e segurando uma pedra","Dobândit prin clic dreapta și ținând o piatră","Приобретенный правой кнопкой мыши и держась на камне","Adquirido haciendo clic derecho y sosteniendo una piedra","Adquirido haciendo clic derecho y sosteniendo una piedra","Förvärvas genom att högerklicka och hålla på en sten","ได้มาจากการคลิกขวาและถือหิน","Bir taş üzerinde sağ tıklama ve tutarak edinildi","Придбаний правою кнопкою миші та триманням на камені","Có được bằng cách nhấp chuột phải và giữ trên một hòn đá"
"Play locally","Play locally","Play locally","ローカルでプレイ","اللعب محليا","Играйте локално","在当地玩","在當地玩","Hrajte lokálně","Spil lokalt","Speel lokaal","Pelata paikallisesti","Jouer localement","Vor Ort spielen","Παίξτε τοπικά","Játssz helyben","Gioca a livello locale","로컬로 플레이하십시오","Spill lokalt","Grać lokalnie","Jogue localmente","Jogue localmente","Joacă local","Играйте на месте","Jugar localmente","Jugar localmente","Spela lokalt","เล่นในพื้นที่","Yerel olarak oyna","Грати на місцевому рівні","Chơi địa phương"
"Exit Game","Exit Game","Exit Game","ゲームを終了","الخروج من اللعبة","Излезте от играта","退出游戏","退出遊戲","Výstupní hra","Afslutningsspil","Exit -spel","Poistumispeli","Quitter le jeu","Spiel verlassen","Έξοδος παιχνιδιού","Kilépési játék","Gioco di uscita","나가 게임","Avslutt spill","Wyjdź z gry","Sair do jogo","Sair do jogo","Joc de ieșire","Выходная игра","Salir del juego","Salir del juego","Utgångsspel","ออกจากเกม","Oyundan çıkış","Гра виходу","Thoát trò chơi"
